,Question,Option A,Option B,Option C,Option D
24,Which of the following is not a Python module or framework for natural language processing?,A.NLTK (Natural Language Toolkit),B.TensorFlow,C.SpaCy,D.Gensim
25,What is the main advantage of using convolutional neural networks in image recognition work?,A.They require less training data,B.They can process text data effectively,C.They capture spatial relationships in images,D.They are more interpretable
26,Which AI application promotes vehicle delivery routes with the use of algorithms?,A.Natural Language Processing (NLP),B.Robotics,C.Genetic Algorithms,D.Machine Vision
27,What does the term “overfitting” mean in AI?,A.The model performs well on the training data but poorly on new data,B.The model is too simple to capture complex patterns in the data,C.The model is biased towards a specific class of data,D.The model is unable to learn from data
28,"What is the name of the AI system which can comprehend, interpret, and produce human language?",A.Natural Language Processing (NLP),B.Machine Vision,C.Reinforcement Learning,D.Genetic Algorithms
29,Which of the following is an example of a task requiring supervised learning?,A.Image classification,B.Clustering customer data,C.Training a chatbot to have a conversation,D.Reinforcement learning in a game
30,What is the name of a particular type of AI system that can carry out a variety of tasks and displays intelligence similar to that of a human?,A.Strong AI,B.Weak AI,C.Narrow AI,D.General AI
31,What does “CNN” stand for in the field of artificial intelligence?,A.Convolutional Neural Network,B.Common Neural Network,C.Continuous Neural Network,D.Complex Neural Network
32,What is the name of an AI system’s ability to become more effective when additional data is made available to it?,A.Static Learning,B.Transfer Learning,C.Dynamic Learning,D.Incremental Learning
33,"What application of artificial intelligence makes use of algorithms to examine and analyse visual data, frequently for tasks like object detection or facial recognition?",A.Natural Language Processing (NLP),B.Robotics,C.Machine Vision,D.Genetic Algorithms
34,What is the main goal of reinforcement learning?,A.To classify data into categories,B.To optimize a system for maximum efficiency,C.To make predictions based on historical data,D.To learn optimal actions through trial and error
35,Which AI method uses a set of rules to describe knowledge and then uses those rules to solve problems?,A.Expert Systems,B.Neural Networks,C.Genetic Algorithms,D.Natural Language Processing (NLP)
36,"What is the main drawback of applying deep learning models, like Convolutional Neural Networks (CNNs)?",A.They require a large amount of labeled data for training,B.They are not suitable for image recognition tasks,C.They cannot handle sequential data,D.They are computationally inefficient
37,What type of AI method is frequently used to simulate natural selection while maximizing solutions to challenging problems?,A.Supervised Learning,B.Reinforcement Learning,C.Genetic Algorithms,D.Unsupervised Learning
38,What is the goal of a collaborative filtering-based AI recommendation system?,A.To generate content for a website,B.To provide personalized recommendations based on user behavior and preferences,C.To classify images,D.To optimize supply chain management
39,What is the process of training a model to carry out a task by giving it examples of appropriate behavior in AI?,A.Supervised Learning,B.Unsupervised Learning,C.Reinforcement Learning,D.Semi-supervised Learning
40,Which AI technology employs algorithms to produce text or speech that sounds human?,A.Machine Vision,B.Natural Language Processing (NLP),C.Speech Recognition,D.Genetic Algorithms
41,What is the phrase used to describe a machine learning model’s capacity to generalize from the training data to make precise predictions on additional data?,A.Overfitting,B.Bias,C.Variance,D.Generalization
42,What is the name of the AI technique where several models or experts are combined to create predictions or decisions?,A.Reinforcement Learning,B.Transfer Learning,C.Ensemble Learning,D.Deep Learning
43,Which of the following activation functions are frequently used in artificial neural networks?,A.Sigmoid,B.Regression,C.Fuzzy Logic,D.Principal Component Analysis (PCA)
44,What is the main benefit of applying reinforcement learning to AI for activities like playing games?,A.It requires a large amount of labeled data,B.It can handle complex sequences of actions,C.It is not suitable for real-time tasks,D.It relies on pre-defined rules
45,What is the name of the method used in AI that enables a model to still make predictions even when portion of the input data is missing?,A.Regularization,B.Imputation,C.Feature Engineering,D.Dimensionality Reduction
46,Which of the following approaches is frequently used to evaluate an AI classification model’s effectiveness?,A.Mean Absolute Error (MAE),B.R-squared (R^2),C.Confusion Matrix,D.Root Mean Square Error (RMSE)
47,What does “backpropagation” mean in AI?,A.The process of training a neural network by adjusting its weights based on errors,B.The technique used for data augmentation,C.The process of encoding categorical data,D.The method for calculating feature importance
48,"What is the name of the kind of AI model, such as a self-driving car, that can complete tasks without constant human intervention?",A.Strong AI,B.Weak AI,C.Narrow AI,D.General AI
49,What does “cross-validation” mean in AI?,A.The process of validating the results of a neural network,B.The process of training a model on multiple datasets,C.The process of splitting data into training and testing sets,D.The technique for evaluating model performance using multiple subsets of data
50,What is the process by which text data is transformed into a numerical representation for machine learning?,A.Text Analysis,B.Text Mining,C.Text Encoding,D.Text Embedding
51,Which of the following is a deep learning framework that is not frequently used?,A.TensorFlow,B.PyTorch,C.Keras,D.Scikit-Learn
52,What is the primary application of a generative adversarial network (GAN) in AI?,A.Image classification,B.Image generation,C.Natural language processing,D.Speech recognition
53,What is the name of the process that turns raw data into a format that machine learning models can use?,A.Data Labeling,B.Data Engineering,C.Data Imputation,D.Data Visualization
54,Which AI algorithms are used to understand and interpret human movements and gestures?,A.Speech Recognition,B.Machine Vision,C.Natural Language Processing (NLP),D.Gesture Recognition
55,What is the primary goal of reinforcement learning in AI?,A.To optimize the accuracy of predictions,B.To find patterns and relationships in data,C.To learn optimal actions based on rewards and punishments,D.To classify data into predefined categories
56,"What is the name of the AI technique where a model is trained on one task, then used for another but similar task?",A.Reinforcement Learning,B.Transfer Learning,C.Ensemble Learning,D.Deep Learning
57,Which of the following is an example of a generative model?,A.Support Vector Machine (SVM),B.Recurrent Neural Network (RNN),C.K-Means Clustering,D.Principal Component Analysis (PCa.
58,What is the main goal of natural language processing?,A.To analyze and process human emotions,B.To generate random text,"C.To understand, interpret, and generate human language",D.To recognize and understand visual information
59,Which AI approach uses rules and knowledge representation to arrive at logically sound decisions?,A.Supervised Learning,B.Expert Systems,C.Deep Learning,D.Reinforcement Learning
60,What is the name of the capability of an AI system to observe and comprehend the spatial structure of the environment?,A.Natural Language Processing (NLP),B.Computer Vision,C.Speech Recognition,D.Sentiment Analysis
61,What does “bias-variance trade-off” mean in the context of AI?,A.The need for more data to reduce model bias,B.The balance between model complexity and generalization,C.The choice between supervised and unsupervised learning,D.The trade-off between accuracy and precision
62,Which of the following approaches is utilized in AI to reduce dimensionality?,A.K-Means Clustering,B.Principal Component Analysis (PCa.,C.Recurrent Neural Networks (RNNs),D.Support Vector Machines (SVMs)
63,What is the name of the metric used in AI to evaluate a classification model’s performance?,A.Root Mean Square Error (RMSE),B.F1 Score,C.Gradient Descent,D.Perceptron Loss
64,What is the name for an AI model that has been trained to accomplish a single task and cannot simply be applied to other tasks?,A.Strong AI,B.Weak AI,C.Narrow AI,D.General AI
65,What kind of AI method uses labeled data to divide input into predetermined categories?,A.Reinforcement Learning,B.Unsupervised Learning,C.Supervised Learning,D.Semi-supervised Learning
66,What is the procedure for reducing the dimensionality of data while maintaining its essential characteristics?,A.Principal Component Analysis (PCA),B.Regression,C.K-Means Clustering,D.Gradient Boosting
67,What does “chatbot” mean in terms of AI?,A.Chatting Robot,B.Chatter Robot,C.Computer Help Assistance Technology for Browsing Online Text,D.Communication Helper Automated Technology Based on Text
68,Which AI application uses algorithms to decode and interpret human emotions from speech or text?,A.Sentiment Analysis,B.Image Recognition,C.Autonomous Vehicles,D.Fraud Detection
69,RNN stand for __.,A.Recursive Neural Network,B.Randomized Neural Network,C.Recurrent Neural Network,D.Robotic Neural Network
70,What is the main advantage of using unsupervised learning in AI?,A.It can make predictions based on labeled data,B.It can perform image recognition tasks,C.It can discover hidden patterns and relationships in data,D.It requires less computational power
71,Which AI method is frequently applied to maximizing judgments in uncertain or inadequate information situations?,A.Reinforcement Learning,B.Supervised Learning,C.Genetic Algorithms,D.Fuzzy Logic
72,How you can describe an AI system’s capacity to identify and comprehend human speech?,A.Natural Language Processing (NLP),B.Speech Recognition,C.Audio Analysis,D.Language Understanding System
73,Which of the following open-source machine learning libraries is well-known for offering tools for modeling and data analysis?,A.TensorFlow,B.Keras,C.PyTorch,D.Pandas
74,What is the process of optimizing a deep learning model that has already been trained for a particular task using a smaller dataset?,A.Reinforcement Learning,B.Transfer Learning,C.Unsupervised Learning,D.Semi-supervised Learning
75,"Which AI method is employed to solve optimization problems and is modeled after the behavior of ants, bees, and other social insects?",A.Reinforcement Learning,B.Swarm Intelligence,C.Genetic Algorithms,D.Expert Systems
76,What does “feature engineering” mean in the context of AI?,A.The process of designing user interfaces for AI applications,B.The process of selecting and transforming input data to improve model performance,C.The process of encoding rules in expert systems,D.The process of fine-tuning hyperparameters in machine learning models
77,Which method is frequently used to decrease overfitting in machine learning models?,A.Increasing the model complexity,B.Decreasing the amount of training data,C.Regularization techniques like L1 and L2,D.Removing all features except one
78,What is the name of the capability of an AI system to comprehend and analyze visual data from the real world?,A.Natural Language Processing (NLP),B.Machine Vision,C.Reinforcement Learning,D.Genetic Algorithms
79,What is the name for a mathematical model in AI that use a system of equations to imitate the behavior of a complicated system?,A.Artificial Neural Network (ANN),B.Genetic Algorithm (Ga.,C.Agent-Based Model (ABM),D.Turing Machine
80,What is the name for a certain class of AI model that has been taught to forecast a continuous numerical value?,A.Classification Model,B.Regression Model,C.Clustering Model,D.Ensemble Model
81,What is the phrase used in AI to describe a model’s capacity to make decisions based on ambiguous or insufficient data?,A.Fuzzy Logic,B.Genetic Algorithms,C.Reinforcement Learning,D.Deep Learning
82,"What is the name of the neural network architecture that has input, hidden, and output layers among its interconnected layers?",A.Recurrent Neural Network (RNN),B.Convolutional Neural Network (CNN),C.Feedforward Neural Network,D.Radial Basis Function Network (RBFN)
83,Which AI method is frequently used to divide data into groups or categories based on their similarities?,A.Reinforcement Learning,B.Clustering,C.Regression,D.Dimensionality Reduction
84,What is the name of the method used in AI that enables a model to learn from its errors and enhance its performance over time?,A.Reinforcement Learning,B.Supervised Learning,C.Unsupervised Learning,D.Semi-supervised Learning
85,What is the main objective of an AI system that does machine translation using natural language processing (NLP)?,A.To summarize text documents,B.To convert speech to text,C.To translate text from one language to another,D.To generate human-like text
86,What is the name of a particular class of AI model that may produce new data points that are comparable to current data points?,A.Discriminative Model,B.Generative Model,C.Ensemble Model,D.Reinforcement Model
87,What does the term “hyperparameter” refer in AI?,A.Parameters learned by the model during training,B.Parameters that define the structure of the model,C.Parameters used to make predictions,D.Parameters related to the loss function
88,Which of the following is a common algorithm used for recommendation systems in AI?,A.Naive Bayes,B.Linear Regression,C.Matrix Factorization,D.Decision Trees
